ID,NAME,ADDR,LAT,LNG
1,가평축산농협 동물병원,경기도 가평군 가평읍 대곡리 166-1번지 ,37.8248498,127.5149412
2,가평축산농협 동물병원,경기도 가평군 가평읍 대곡리 166-1번지 ,37.8248498,127.5149412
3,경기동물병원,경기도 가평군 청평면 청평리 438-23번지,37.7357751,127.4158685
4,가평동물병원,경기도 가평군 가평읍 대곡리 236-7번지,37.8261804,127.5135193
5,청평동물병원,경기도 가평군 청평면 청평리 465-25번지,37.7383541,127.4203414
6,우랑동물병원(산업동물출장진료전문병원),경기도 가평군 가평읍 읍내리 602번지 ,37.8330387,127.5088297
7,경기동물병원,경기도 가평군 청평면 청평리 438-23번지 경기동물병원 ,37.7357751,127.4158685
8,설악동물병원,경기도 가평군 설악면 신천리 454-3번지 ,37.6777754,127.4903847
9,가평축산농협 동물병원,경기도 가평군 가평읍 대곡리 166-2번지 가평축산농협 ,37.8244544,127.5147113
10,현리동물병원,경기도 가평군 조종면 현리 303-6번지 ,37.8204256,127.3464232
11,가평가축병원,경기도 가평군 가평읍 대곡리 230-3번지 ,37.8249884,127.5141585
12,현대가축병원,경기도 가평군 가평읍 읍내리 489-14번지 현대동물병원 ,37.829569,127.5111914
13,선진가축병원(산업동물출장진료전문병원),경기도 가평군 가평읍 읍내리 535-2번지 ,37.8293745,127.5103268
14,대한동물병원,경기도 가평군 가평읍 대곡리 189-1   번지,37.8242335,127.5158002
15,가평유기동물병원,경기도 가평군 하면 대보리 223번지,37.8026488,127.3707081
16,？평애견동물병원,경기도 가평군 청평면 청평리 453-1번지,37.7365812,127.4172343
17,푸른가축병원(산업동물출장진료전문병원),경기도 가평군 가평읍 읍내리 457번지,37.8300964,127.5121378
18,이용철동물병원,경기도 고양시 일산서구 일산동 643-3번지,37.6835406,126.7726809
19,거부기 동물병원,경기도 고양시 일산동구 장항동 742-1번지 한라밀라트 B동 113호,37.6618409,126.7659027
20,로하스 동물병원,경기도 고양시 일산서구 주엽동 63번지 강선마을8단지 ,37.6697436,126.7665123
21,진스 종합 동물병원,경기도 고양시 일산동구 장항동 883번지 호수마을5단지아파트 121호,37.6501845,126.7761267
22,펫앤유 24시 동물병원,경기도 고양시 덕양구 내유동 431-9번지,37.7149313,126.851395
23,경서동물병원,경기도 고양시 덕양구 화전동 219-14번지,37.6006961,126.8728368
24,해오름 동물병원,경기도 고양시 덕양구 주교동 621-3번지 101호,37.6588561,126.8384876
25,위드동물병원,경기도 고양시 일산서구 대화동 2606번지 원마운트 1231호,37.6643761,126.7544363
26,FM 동물메디컬센터,경기도 고양시 덕양구 화정동 970-1번지 대감빌딩 ,37.6338526,126.8310655
27,삼송동물병원,경기도 고양시 덕양구 삼송동 135-51번지,37.6524937,126.8910022
28,고양시 동물보호센터,경기도 고양시 덕양구 원흥동 471-10번지 고양시 농업기술센터 ,37.6494354,126.8698171
29,워리워리,경기도 고양시 일산서구 대화동 2107-18번지 24통8반 2층 ,37.6816531,126.7570994
30,Helix ADI Center : 헬릭스 영상진단센터,경기도 고양시 덕양구 행신동 1086번지 205~6호,37.617467,126.8462355
31,그랜드 동물병원,경기도 고양시 일산서구 주엽동 115-1번지 시대프라자,37.6706274,126.7580992
32,24시 나음동물의료센터,경기도 고양시 일산동구 장항동 852번지 현대 에뜨레보 103~4호,37.6549654,126.774435
33,원흥동물의료센터,경기도 고양시 덕양구 도내동 1087번지 201호,37.6292705,126.8687542
34,해밀동물병원,경기도 고양시 일산동구 식사동 513-3번지,37.6653813,126.8157942
35,민동물병원,경기도 고양시 덕양구 성사동 699-1번지,37.6555184,126.8355939
36,화정동물병원,경기도 고양시 덕양구 화정동 913-4번지 201호,37.6399356,126.8320372
37,헬릭스동물메디컬센터,"경기도 고양시 덕양구 행신동 1086번지 서정프라자 1층, 2층",37.617467,126.8462355
38,삼송사랑 동물의료센터,경기도 고양시 덕양구 삼송동 326-2번지 우영프라자 2층,37.6507482,126.8843078
39,위즈펫동물병원 일산장항점,경기도 고양시 일산동구 장항동 755번지 홈플러스 4층,37.6589637,126.7688243
40,미래동물병원,경기도 고양시 일산서구 덕이동 263-19번지 양우로데오메인타운 ,37.6928164,126.7572666
41,일산제일,경기도 고양시 일산서구 일산동 1065번지 정발빌딩 ,37.6795683,126.7641005
42,대심동물병원,경기도 고양시 덕양구 관산동 185번지 도광빌딩 ,37.6869931,126.8667003
43,벳케어 동물병원,경기도 고양시 일산서구 가좌동 390-8번지 ,37.6870729,126.7191928
44,Dr. dog 동물영상의료센터,경기도 고양시 일산동구 정발산동 1294-5번지 ,37.6705466,126.781018
45,쿨펫동물병원 킨텍스점,경기도 고양시 일산서구 대화동 2703번지,37.6614886,126.7440193
46,신진가축병원,경기도 고양시 일산서구 일산동 579-3번지 ,37.6860677,126.7749859
47,위시티 동물병원,경기도 고양시 일산동구 식사동 344번지 자이주상복합아파트 상가 B동 211-1호,37.6809381,126.8139867
48,수 동물병원,경기도 고양시 일산동구 장항동 751번지 삼성라끄빌 ,37.6608223,126.7656566
49,펫스티벌 동물병원,경기도 고양시 일산동구 풍동 660-3번지 ,37.6790208,126.7936776
50,조이동물병원 제니스점,경기도 고양시 일산서구 탄현동 1640번지 일산위브더제니스수퀘어 159 160호,37.6940982,126.7628408
51,시민종합동물병원,경기도 고양시 일산서구 주엽동 31-1번지,37.6746843,126.7637081
52,펫스마일동물병원,경기도 고양시 일산서구 대화동 2194-4번지 ,37.6770723,126.7509592
53,탑 동물병원,경기도 고양시 덕양구 토당동 882번지 가남프라자 108호,37.619743,126.8247323
54,현대동물병원,경기도 고양시 일산서구 일산동 573번지 ,37.6874592,126.777045
55,이솝동물병원,경기도 고양시 일산동구 마두동 898-7번지 ,37.6616277,126.7862125
56,반딧불 동물병원,경기도 고양시 일산서구 주엽동 110-2번지 가람상가 208호,37.6703244,126.759687
57,김 S 동물병원,경기도 고양시 일산동구 정발산동 702-4번지,37.6666583,126.7735945
58,예 동물병원,경기도 고양시 덕양구 도내동 1020번지,37.6302983,126.8694207
59,24일산우리동물병원,경기도 고양시 일산서구 주엽동 115번지 대우시티프라자,37.6708264,126.7584952
60,초원동물병원,경기도 고양시 일산서구 일산동 1054-1번지 현대프라자 ,37.6795472,126.7626043
61,토베스트 동물병원,경기도 고양시 일산동구 정발산동 1203-7번지 ,37.6723519,126.7780429
62,Dr.Dog동물의료센터,경기도 고양시 일산동구 정발산동 1294-5번지 1층 ,37.6705466,126.781018
63,Dr.dog 동물병원,경기도 고양시 일산서구 일산동 1294-4번지,37.677682,126.7761564
64,토론토 동물병원,경기도 고양시 일산서구 대화동 2119-4번지 ,37.6781278,126.7558527
65,튼튼동물병원,경기도 고양시 일산동구 백석동 1309번지 우림오피스텔 ,37.6417722,126.7872106
66,강남동물병원,경기도 고양시 일산동구 식사동 670-28번지 ,37.6787711,126.8110676
67,신원동물메디컬센터,경기도 고양시 덕양구 신원동 638-4번지 ,37.6618789,126.8880641
68,올리브동물병원,경기도 고양시 일산동구 마두동 806번지 올리브상가 C동 112호,37.6496066,126.7802078
69,백마동물병원,경기도 고양시 일산동구 마두동 728-1번지 장항A타운 ,37.6552376,126.7899027
70,이창훈 동물병원,경기도 고양시 일산동구 정발산동 1180-3번지 ,37.6693755,126.7763517
71,일산 클래식 동물병원,경기도 고양시 일산동구 백석동 1194번지,37.6478809,126.7823999
72,삼송우리동물병원,경기도 고양시 덕양구 동산동 361-4번지,37.6451923,126.8873647
73,365 신원당 동물병원,경기도 고양시 덕양구 성사동 706-4번지 1층 365 신원당동물병원 ,37.6543538,126.8403447
74,페로페라동물병원,경기도 고양시 일산동구 식사동 1545-2번지 ,37.6763518,126.8137376
75,애니웰 동물병원,경기도 고양시 일산동구 백석동 1314번지 성우아뜨리움오피스텔 110호,37.6398309,126.7898787
76,쿨펫동물병원,경기도 고양시 덕양구 화정동 982번지 롯데마트 ,37.6328886,126.8310678
77,돌봄동물병원,경기도 고양시 일산서구 덕이동 1544번지,37.6990711,126.753935
78,피그만클리닉,경기도 고양시 덕양구 행신동 709-1번지 15통5반,37.6133577,126.832619
